Top pages,Clicks,Impressions,CTR,Position
https://lets-plot.org/python/pages/api/lets_plot.aes.html,37,402,9.2%,23.06
https://lets-plot.org/python/pages/api/lets_plot.geom_errorbar.html,36,2919,1.23%,11.65
https://lets-plot.org/pages/api/lets_plot.geom_boxplot.html,36,897,4.01%,22.13
https://lets-plot.org/python/pages/api/lets_plot.geom_density2d.html,36,672,5.36%,10.1
https://lets-plot.org/pages/api/lets_plot.ggsize.html,36,211,17.06%,19.64
https://lets-plot.org/pages/api/lets_plot.geom_abline.html,35,6718,0.52%,10.83
https://lets-plot.org/kotlin/formats.html,35,3244,1.08%,15.24
https://lets-plot.org/python/pages/api/lets_plot.geom_bin2d.html,34,1525,2.23%,8.14
https://lets-plot.org/pages/no_js_and_offline_mode.html,33,1485,2.22%,14.28
https://lets-plot.org/python/pages/api/lets_plot.geom_violin.html,33,1481,2.23%,13.26
https://lets-plot.org/pages/api/lets_plot.geom_point.html,32,1894,1.69%,26.8
https://lets-plot.org/python/pages/formats.html,31,1023,3.03%,34.11
https://lets-plot.org/pages/api/lets_plot.geom_vline.html,30,5568,0.54%,12.42
https://lets-plot.org/pages/api/lets_plot.scale_fill_manual.html,30,2159,1.39%,12.29
https://lets-plot.org/pages/basemap_tiles.html,30,1134,2.65%,21.7
https://lets-plot.org/pages/tooltips.html,30,230,13.04%,13.23
https://lets-plot.org/python/pages/api/lets_plot.scale_color_gradient2.html,29,1560,1.86%,8.64
https://lets-plot.org/python/pages/api/lets_plot.geom_freqpoly.html,29,1433,2.02%,10.16
https://lets-plot.org/python/pages/api/lets_plot.coord_fixed.html,29,987,2.94%,9.15
https://lets-plot.org/python/pages/api/lets_plot.xlab.html,29,494,5.87%,30.55
https://lets-plot.org/python/pages/api/lets_plot.guides.html,29,234,12.39%,8.44
https://lets-plot.org/python/pages/api/lets_plot.scale_y_discrete.html,28,2221,1.26%,9.02
https://lets-plot.org/python/pages/api/lets_plot.scale_alpha_manual.html,28,1362,2.06%,7.38
https://lets-plot.org/kotlin/get-started.html,28,806,3.47%,16.46
https://lets-plot.org/python/pages/geopandas.html,27,5885,0.46%,23.72
https://lets-plot.org/python/pages/api/lets_plot.geom_polygon.html,27,2402,1.12%,22.9
https://lets-plot.org/pages/sampling.html,27,1945,1.39%,7.63
https://lets-plot.org/pages/api/lets_plot.geom_label.html,26,1740,1.49%,13.89
https://lets-plot.org/python/pages/api/lets_plot.scale_color_brewer.html,26,1423,1.83%,10.04
https://lets-plot.org/pages/api/lets_plot.scale_y_continuous.html,25,966,2.59%,15.45
https://lets-plot.org/python/pages/api/lets_plot.geom_map.html,25,921,2.71%,9.25
https://lets-plot.org/kotlin/charts.html,24,714,3.36%,9.42
https://lets-plot.org/python/pages/api/lets_plot.geom_raster.html,23,2108,1.09%,11.22
https://lets-plot.org/python/pages/api/lets_plot.scale_fill_continuous.html,23,1840,1.25%,8.2
https://lets-plot.org/pages/api/lets_plot.layer_tooltips.html,23,251,9.16%,20.26
https://lets-plot.org/pages/api/lets_plot.geom_segment.html,22,2926,0.75%,12.96
https://lets-plot.org/pages/api/lets_plot.scale_size_manual.html,22,1058,2.08%,8.6
https://lets-plot.org/python/pages/api/lets_plot.geom_step.html,22,926,2.38%,9.96
https://lets-plot.org/python/pages/api/lets_plot.scale_color_identity.html,22,643,3.42%,7.45
https://lets-plot.org/pages/api/lets_plot.geom_bin2d.html,21,1023,2.05%,10.91
https://lets-plot.org/python/pages/api/lets_plot.scale_y_reverse.html,21,684,3.07%,8.6
https://lets-plot.org/pages/api/lets_plot.aes.html,21,204,10.29%,15.33
https://lets-plot.org/pages/api/lets_plot.mapping.as_discrete.html,21,146,14.38%,9.23
https://lets-plot.org/pages/geopandas.html,20,5162,0.39%,33.29
https://lets-plot.org/pages/api/lets_plot.geom_hline.html,20,2653,0.75%,10.78
https://lets-plot.org/python/pages/api/lets_plot.geom_jitter.html,20,1458,1.37%,10.02
https://lets-plot.org/python/pages/api/lets_plot.geom_linerange.html,20,1234,1.62%,8.93
