hash;repo_name;author;date;extension;additions;deletions
8c3acc614b31b546522494b9f948a80887b19dd1;lets-plot;Ivan Kupriyanov;Tue Dec 17 17:43:23 2024 +0100;kt;104;0
d711892cbac5c522852df5029a9c091924baedbd;lets-plot;Valentin Dovidaytis;Fri Dec 13 18:48:41 2024 +0100;kts;1;1
d711892cbac5c522852df5029a9c091924baedbd;lets-plot;Valentin Dovidaytis;Fri Dec 13 18:48:41 2024 +0100;py;1;1
dfbd0ca13d1717fbe8f6ab187367efae5c8a2244;lets-plot;Valentin Dovidaytis;Fri Dec 13 18:47:00 2024 +0100;md;30;24
dfbd0ca13d1717fbe8f6ab187367efae5c8a2244;lets-plot;Valentin Dovidaytis;Fri Dec 13 18:47:00 2024 +0100;js;1;1
dfbd0ca13d1717fbe8f6ab187367efae5c8a2244;lets-plot;Valentin Dovidaytis;Fri Dec 13 18:47:00 2024 +0100;kts;1;1
dfbd0ca13d1717fbe8f6ab187367efae5c8a2244;lets-plot;Valentin Dovidaytis;Fri Dec 13 18:47:00 2024 +0100;py;1;1
5c2f17845b72c07235558ba4b5e680550308d175;lets-plot;Ivan Kupriyanov;Fri Dec 13 15:13:06 2024 +0100;kt;50;27
93c796585d811bef32704c41d797861ed1790eeb;lets-plot;Ivan Kupriyanov;Fri Dec 13 12:00:44 2024 +0100;kt;46;11
edd5b507e693b0f93e37d4ca2d341fe4a9a0d366;lets-plot;Ivan Kupriyanov;Thu Dec 12 19:42:41 2024 +0100;py;78;78
d104e56e3b6c9b51f43d412c068f23e39d11c93d;lets-plot;Ivan Kupriyanov;Thu Dec 12 17:56:58 2024 +0100;kt;7;4
7d80bda05cf15e349f477af82a345028c1e1a859;lets-plot;Ivan Kupriyanov;Thu Dec 12 11:03:55 2024 +0100;kt;80;18
7d80bda05cf15e349f477af82a345028c1e1a859;lets-plot;Ivan Kupriyanov;Thu Dec 12 11:03:55 2024 +0100;md;3;0
8f5d6382d8b27f3607287e2c7eb35d00d3428dfd;lets-plot;Ivan Kupriyanov;Wed Dec 11 20:23:19 2024 +0100;kt;39;23
875e0c02272575ed019e4efbdb33c3db75909f69;lets-plot;Ivan Kupriyanov;Mon Dec 9 20:48:44 2024 +0100;kt;55;4
875e0c02272575ed019e4efbdb33c3db75909f69;lets-plot;Ivan Kupriyanov;Mon Dec 9 20:48:44 2024 +0100;py;33;5
5caf4fb9a04d4afcbd837169fa082d4fbb74fb95;lets-plot;Ivan Kupriyanov;Mon Dec 9 16:15:44 2024 +0100;kt;54;16
5caf4fb9a04d4afcbd837169fa082d4fbb74fb95;lets-plot;Ivan Kupriyanov;Mon Dec 9 16:15:44 2024 +0100;md;1;0
4ac0d7972b41a728c1b0f558f9279942f2ae5231;lets-plot;Igor Alshannikov;Fri Dec 6 19:18:36 2024 -0500;md;0;1
b3c91f1ad3ac63ea755d375da9ad73da7710a4d9;lets-plot;Ivan Kupriyanov;Fri Dec 6 17:13:09 2024 +0100;kt;5;14
e7422a4abdb30619b2a4336aa3f4606fe40eb4df;lets-plot;Ivan Kupriyanov;Fri Dec 6 12:02:57 2024 +0100;kt;110;53
07ca36acd5cdaae87544fafc3f089df2871c02ec;lets-plot;Ivan Kupriyanov;Thu Dec 5 21:05:33 2024 +0100;kt;29;15
9b05ed125ad7f2ff811935e91bf563cce154e627;lets-plot;Igor Alshannikov;Wed Dec 4 16:20:55 2024 -0500;md;7;3
afa6a093f4223c603fff34b1f7599316afc6ed96;lets-plot;Artem Smirnov;Wed Dec 4 18:08:24 2024 +0100;kt;90;37
afa6a093f4223c603fff34b1f7599316afc6ed96;lets-plot;Artem Smirnov;Wed Dec 4 18:08:24 2024 +0100;py;4;2
be6576d193e20ecfafc34d0dc64f07f3834b8722;lets-plot;Artem Smirnov;Wed Dec 4 16:57:50 2024 +0100;ipynb;1865;0
be6576d193e20ecfafc34d0dc64f07f3834b8722;lets-plot;Artem Smirnov;Wed Dec 4 16:57:50 2024 +0100;kt;91;28
be6576d193e20ecfafc34d0dc64f07f3834b8722;lets-plot;Artem Smirnov;Wed Dec 4 16:57:50 2024 +0100;md;1;0
60d7efd8066f2e46a827d13a807e70ca975938a5;lets-plot;Ivan Kupriyanov;Tue Dec 3 21:43:14 2024 +0100;kt;175;133
60d7efd8066f2e46a827d13a807e70ca975938a5;lets-plot;Ivan Kupriyanov;Tue Dec 3 21:43:14 2024 +0100;md;2;0
115d6e83ede238f765e90903f981a080285c8a6d;lets-plot;Artem Smirnov;Tue Dec 3 12:33:19 2024 +0100;kt;0;1
1561a8f14654a770a66d34a80cb6d7ec56f43e32;lets-plot;Ivan Kupriyanov;Fri Nov 29 13:34:27 2024 +0100;kt;18;84
75a25fe70d45db1d86fcffa1dcbe31a9ad9487d3;lets-plot;Ivan Kupriyanov;Fri Nov 29 13:19:44 2024 +0100;kt;84;14
17a33a39f22352b058d5bd56174eba8367ae5cfa;lets-plot;Ivan Kupriyanov;Fri Nov 29 12:03:03 2024 +0100;md;1;1
b9c9e414a3413885ba8830f177e4ec2aa6319eb4;lets-plot;Ivan Kupriyanov;Thu Nov 28 21:49:32 2024 +0100;kt;66;25
