number;state;author;title;created_at;closed;closed_at;repo_name
564;CLOSED;Stanislav Poslavsky;Feature request: `position` option for scales;2022-07-06T15:17:01Z;True;2023-03-10T19:40:30Z;lets-plot
563;CLOSED;Olga Larionova;No tooltips for `geom_boxplot` with zero height;2022-07-06T12:24:04Z;True;2022-09-06T08:47:07Z;lets-plot
562;CLOSED;Stanislav Poslavsky;Feature request: ability to specify font size, family, hjust and vjust for element_text();2022-07-05T00:21:01Z;True;2022-10-03T19:59:16Z;lets-plot
561;CLOSED;Igor Alshannikov;Add cumulative distribution plot;2022-06-29T21:42:41Z;True;2023-08-18T21:04:17Z;lets-plot
560;OPEN;Igor Alshannikov;Add `geom_rug()`;2022-06-29T20:14:24Z;False;;lets-plot
559;CLOSED;Igor Alshannikov;"Marginal plots: add a ""bistro"" function for quick plot creation.";2022-06-29T20:06:34Z;True;2023-02-20T12:14:13Z;lets-plot
558;CLOSED;Igor Alshannikov;"Support automatic detection of ""orientation""";2022-06-29T19:36:09Z;True;2024-04-17T08:03:28Z;lets-plot
557;CLOSED;Igor Alshannikov;Add `geom_label()`;2022-06-29T18:54:07Z;True;2022-10-03T19:59:36Z;lets-plot
556;OPEN;Igor Alshannikov;Add `geom_hex()`;2022-06-29T18:50:49Z;False;;lets-plot
555;CLOSED;Igor Alshannikov;"Add support for ""viridis"" color scales.";2022-06-29T18:49:02Z;True;2022-07-15T19:22:19Z;lets-plot
554;CLOSED;Igor Alshannikov;Add `theme_bw` support;2022-06-29T18:44:49Z;True;2022-07-21T12:28:45Z;lets-plot
553;CLOSED;Igor Alshannikov;boxplot, violin, crossbar: position dodge width=0.95 should be used by default.;2022-06-28T21:28:43Z;True;2022-07-08T00:43:30Z;lets-plot
552;CLOSED;Igor Alshannikov;Density/area geom: preserve the z-order when grouping.;2022-06-28T20:51:47Z;True;2022-08-12T16:43:29Z;lets-plot
551;CLOSED;Igor Alshannikov;Allow to import all 'bistro' functions just by '*'.;2022-06-28T20:30:20Z;True;2022-08-12T16:43:29Z;lets-plot
550;CLOSED;Igor Alshannikov;Upgrade ktor version;2022-06-28T20:14:17Z;True;2022-06-30T10:44:31Z;lets-plot
549;CLOSED;Ivan Kupriyanov;Add horizontal segment for boxplot whiskers and option to control its size;2022-06-28T11:53:23Z;True;2022-09-02T14:33:36Z;lets-plot
547;CLOSED;Ivan Kupriyanov;Unexpected point geometries on geom_livemap();2022-06-09T18:52:38Z;True;2022-06-09T18:54:41Z;lets-plot
542;CLOSED;Stanislav Poslavsky;"Feature request: add ""panelBorder"" theme option";2022-05-29T21:57:10Z;True;2022-06-14T12:47:43Z;lets-plot
539;CLOSED;Olga Larionova;Jfx: Artifacts on fast cursor moving ;2022-05-20T09:08:57Z;True;2022-05-26T13:15:53Z;lets-plot
526;CLOSED;;Support for polars.DataFrame;2022-03-27T10:05:01Z;True;2022-05-12T11:28:41Z;lets-plot
525;CLOSED;Artem Smirnov;Labels out of plot when axis_text_y='blank';2022-03-21T16:33:31Z;True;2022-04-01T18:04:24Z;lets-plot
515;CLOSED;Olga Larionova;The axis tooltip overlaps the general tooltip;2022-02-17T11:28:36Z;True;2022-02-17T11:40:47Z;lets-plot
513;CLOSED;Stanislav Poslavsky;geomText with facetWrap breaks y axis limits (bug?);2022-02-15T13:44:30Z;True;2022-03-30T15:57:27Z;lets-plot
507;CLOSED;Carter Jernigan;scaleColorManual swaps labels if dataframe contains single label;2022-01-28T15:38:02Z;True;2022-09-28T19:40:14Z;lets-plot
506;CLOSED;Carter Jernigan;`scaleColorManual` Divide by Zero with 1 mapping;2022-01-28T15:13:14Z;True;2022-03-30T15:39:12Z;lets-plot
505;CLOSED;Eric Larson;No 3.10 wheel;2022-01-26T21:36:07Z;True;2022-06-24T15:32:23Z;lets-plot
504;CLOSED;Stanislav Poslavsky;n-color gradient for `scaleColorGradient`;2022-01-25T12:40:24Z;True;2022-06-07T17:33:18Z;lets-plot
501;CLOSED;Stanislav Poslavsky;Multiple color/fill scales;2022-01-15T14:30:04Z;True;2022-01-25T12:19:36Z;lets-plot
498;CLOSED;Stanislav Poslavsky;Feature request: geom_dotplot;2022-01-06T23:08:07Z;True;2022-03-30T16:00:45Z;lets-plot
497;CLOSED;Kiryl Bubovich; CVE-2021-23792 in org.jetbrains.lets-plot:lets-plot-image-export@2.2.1;2022-01-06T07:35:02Z;True;2022-01-10T20:38:44Z;lets-plot
496;CLOSED;Igor Alshannikov;LiveMap, Swing-batik: legend is not visible when overlapping map.;2021-12-30T20:46:17Z;True;2022-01-11T18:21:25Z;lets-plot
495;CLOSED;Igor Alshannikov;Provide a way to set a default theme.;2021-12-28T20:57:04Z;True;2022-04-10T11:22:14Z;lets-plot
494;OPEN;Igor Alshannikov;scaleXTime: labels on axis are not legible on large time delta values.;2021-12-14T18:42:52Z;False;;lets-plot
492;CLOSED;Sergei Bulgakov;Non-deterministic IDs for `clip-path` cause different svg outputs for the same input data;2021-12-10T17:35:48Z;True;2022-06-28T00:26:19Z;lets-plot
489;CLOSED;Xie Zejian;Different behavior between ggplot and letsplot in aes;2021-12-05T17:23:37Z;True;2021-12-07T16:04:33Z;lets-plot
488;CLOSED;Alexander Gusakov;Auto width API;2021-12-03T15:31:57Z;True;2022-03-30T16:06:03Z;lets-plot
486;CLOSED;Ivan Kupriyanov;Can't set None for coord limit;2021-11-30T16:05:47Z;True;2024-02-17T01:38:12Z;lets-plot
485;CLOSED;Vladimir Sitnikov;Is there a way to customize plot background (all the background) in JVM?;2021-11-27T17:34:30Z;True;2022-03-30T17:12:23Z;lets-plot
484;OPEN;Olga Larionova;The tooltip format with `{}` in the pattern ignores the default formatting;2021-11-26T12:04:10Z;False;;lets-plot
481;CLOSED;Olga Larionova;The tooltip dependence on number of factors works separately by layers;2021-11-25T12:30:06Z;True;2021-11-25T12:34:53Z;lets-plot
479;CLOSED;Holger Brandl;facetWrap should support scales argument;2021-11-20T15:29:59Z;True;2022-03-30T16:03:05Z;lets-plot
478;CLOSED;Igor Alshannikov;"coord_fixed should adjust dimensions of ""geom"" panel accordingly.";2021-11-17T00:16:16Z;True;2021-11-24T01:38:04Z;lets-plot
476;CLOSED;qj;“liblets_plot_python_extension_api.h”: No such file or directory;2021-11-14T01:59:18Z;True;2021-11-16T08:32:45Z;lets-plot
474;CLOSED;Igor Alshannikov;Coord system limits do not work with x/y scale with transform.;2021-11-09T20:55:03Z;True;2021-11-10T01:55:24Z;lets-plot
472;CLOSED;Vladimir Sitnikov;Please bundle LICENSE file to the published jar artifacts;2021-11-07T10:53:08Z;True;2021-12-14T16:49:47Z;lets-plot
471;CLOSED;Vladimir Sitnikov;Is kotlin-reflect really needed for lets-plot?;2021-11-02T15:38:55Z;True;2021-11-11T12:24:58Z;lets-plot
470;CLOSED;Vladimir Sitnikov;Select better labels for datatime axis;2021-10-31T17:05:17Z;True;2021-12-27T23:21:33Z;lets-plot
469;CLOSED;Vladimir Sitnikov;Provide 0-23 hour formatting;2021-10-31T17:02:25Z;True;2021-11-12T14:20:11Z;lets-plot
468;CLOSED;Vladimir Sitnikov;Provide scaleXTimeOffset for relative duration axis;2021-10-31T16:56:00Z;True;2021-12-13T11:48:34Z;lets-plot
456;CLOSED;;Not working in windows cmd prompt;2021-10-11T03:09:14Z;True;2021-10-19T01:16:14Z;lets-plot
454;CLOSED;Essi Parent;Ordering facets;2021-10-06T12:53:10Z;True;2021-10-21T21:07:46Z;lets-plot
453;CLOSED;Stanislav Poslavsky;Heatmap: geomTile() + coordFixed() strange result;2021-10-05T23:38:17Z;True;2021-12-15T22:20:59Z;lets-plot
452;CLOSED;Stanislav Poslavsky;Feature request: coord_polar;2021-10-01T22:58:40Z;True;2024-03-16T00:53:27Z;lets-plot
451;CLOSED;Essi Parent;Add scales argument to facet_grid and facet_wrap;2021-09-29T20:29:59Z;True;2022-03-30T16:05:28Z;lets-plot
450;CLOSED;Ivan Kupriyanov;Map rendering is broken when browser uses scaling;2021-09-29T19:34:25Z;True;2021-09-29T19:39:09Z;lets-plot
439;CLOSED;Robin Northcott;Not working with PyCharm, fails to send plot 500 Error;2021-09-16T22:41:27Z;True;2021-09-21T02:06:22Z;lets-plot
438;CLOSED;Robin Northcott;can't install with Pipenv - dependencies cannot be resolved;2021-09-16T21:55:25Z;True;2021-09-20T14:01:17Z;lets-plot
430;CLOSED;Ivan Kupriyanov;Unreadable breaks on axis;2021-09-07T14:56:44Z;True;2021-09-24T20:23:45Z;lets-plot
429;CLOSED;;not working in Jupyter Notebook ;2021-09-04T10:36:53Z;True;2021-10-11T05:34:03Z;lets-plot
428;CLOSED;Ivan Kupriyanov;map_join doesn't work when join variables with same names without mappings;2021-09-02T18:01:36Z;True;2021-09-02T18:07:36Z;lets-plot
424;OPEN;Igor Alshannikov;"Nice to have behavior similar to ""patchwork"" in R";2021-08-30T16:20:02Z;False;;lets-plot
423;CLOSED;;Pie chart in python;2021-08-24T20:50:58Z;True;2022-12-15T22:14:30Z;lets-plot
417;CLOSED;Igor Alshannikov;Add Subtitle, Caption;2021-08-08T00:57:52Z;True;2022-03-30T15:51:37Z;lets-plot
415;CLOSED;Ivan Kupriyanov;Increase saturation of a tooltip text color;2021-08-03T18:41:33Z;True;2022-03-30T15:48:24Z;lets-plot
412;CLOSED;Igor Alshannikov;geom_jitter: show axis tooltips (same as geom_point) ;2021-07-28T18:17:53Z;True;2021-08-04T09:19:57Z;lets-plot
410;OPEN;Igor Alshannikov;Support the 'reverse' param in guide_legend(), guide_colorbar();2021-07-27T22:19:01Z;False;;lets-plot
407;CLOSED;Igor Alshannikov;Scale breaks should be distributed evenly on 'sqrt' scale.;2021-07-20T17:38:38Z;True;2021-07-20T18:57:51Z;lets-plot
406;CLOSED;Igor Alshannikov;Wrong tooltip formatting when used with log10 scales;2021-07-20T17:33:23Z;True;2021-07-22T20:38:01Z;lets-plot
405;OPEN;Igor Alshannikov;Support 'coord_trans';2021-07-16T19:12:27Z;False;;lets-plot
403;CLOSED;Ivan Kupriyanov;Plot layout looks wrong;2021-07-14T20:25:29Z;True;2021-07-23T22:03:59Z;lets-plot
401;CLOSED;Igor Alshannikov;Tooltip format for variable is not working;2021-07-01T20:02:52Z;True;2021-08-04T09:19:00Z;lets-plot
400;CLOSED;BrezDev;Axis value font size;2021-07-01T19:05:34Z;True;2022-10-03T20:01:17Z;lets-plot
399;CLOSED;Igor Alshannikov;Tooltip on axis: increase the font size.;2021-06-30T20:47:13Z;True;2021-06-30T21:29:58Z;lets-plot
398;CLOSED;Ilya Idamkin;Consider upgrading to 1.14 version of apache-batik;2021-06-21T13:37:35Z;True;2021-06-30T18:33:07Z;lets-plot
396;CLOSED;Andreas Radke;element_text() not implemented yet? ;2021-06-14T13:05:16Z;True;2022-10-03T20:12:48Z;lets-plot
393;CLOSED;Igor Alshannikov;tooltip on y-axis looks wrong;2021-06-12T15:42:45Z;True;2021-11-30T07:56:09Z;lets-plot
392;CLOSED;Igor Alshannikov;formatting: scale_x_datetime should apply date-time formatting to the breaks;2021-06-11T17:41:23Z;True;2021-08-18T14:48:15Z;lets-plot
391;CLOSED;Igor Alshannikov;"faceted plot is broken by geom with ""constant"" aesthetics";2021-06-11T16:46:42Z;True;2021-08-06T19:30:51Z;lets-plot
390;CLOSED;Igor Alshannikov;"Formatting: "".1s"" pattern is not working as expected";2021-06-11T16:26:03Z;True;2021-07-22T20:40:42Z;lets-plot
388;CLOSED;Igor Alshannikov;tooltip default formatting should not change after adding other variables to tooltip;2021-06-11T01:00:36Z;True;2021-07-27T11:39:22Z;lets-plot
387;CLOSED;Igor Alshannikov;tooltip format() should understand date-time format pattern;2021-06-11T00:42:56Z;True;2021-08-18T13:46:00Z;lets-plot
386;CLOSED;Igor Alshannikov;maps: Simplify using 3-rd party raster tiles (helpers for well known free tiles).;2021-06-09T17:35:03Z;True;2021-08-02T20:10:18Z;lets-plot
385;CLOSED;Igor Alshannikov;"Plots which have 'vline' layer are ""levitating"" above the Y-axis";2021-06-08T20:41:40Z;True;2021-06-09T15:23:40Z;lets-plot
384;CLOSED;Robert DeFilippi;Question: creating scatterplots with marginal histograms?;2021-06-03T14:43:28Z;True;2022-06-28T00:32:49Z;lets-plot
382;CLOSED;Igor Alshannikov;No tooltip shown when I'm trying to add an empty line.;2021-05-29T23:33:31Z;True;2021-11-23T14:55:41Z;lets-plot
381;OPEN;Igor Alshannikov;livemap: add possibility to zoom-out the map via double-click.;2021-05-28T22:19:01Z;False;;lets-plot
380;CLOSED;Igor Alshannikov;map_join is not working correctly when `map=geocoder`;2021-05-28T21:53:06Z;True;2021-06-16T21:15:22Z;lets-plot
379;CLOSED;Igor Alshannikov;geocoding: ValueError: No objects were found for Munich;2021-05-28T21:03:44Z;True;2021-06-29T08:41:35Z;lets-plot
378;OPEN;Igor Alshannikov;geocoding: incorrect geocoding of St.Petersburg;2021-05-28T20:43:30Z;False;;lets-plot
377;CLOSED;Igor Alshannikov;geocoding: ValueError: No objects were found for Czech Republic.;2021-05-28T20:26:41Z;True;2021-06-29T08:32:51Z;lets-plot
374;CLOSED;;Exclude slf4j implementation from lets-plot-common;2021-05-19T14:12:37Z;True;2021-06-04T21:40:44Z;lets-plot
373;CLOSED;Artem Smirnov;Zoom without clipping breaks tooltips;2021-05-19T13:09:42Z;True;2021-09-08T14:34:25Z;lets-plot
372;CLOSED;Artem Smirnov;scale_y_log10: hidden segments;2021-05-19T13:09:05Z;True;2021-07-16T19:31:17Z;lets-plot
371;CLOSED;Ivan Kupriyanov;"Can't build plot - ""Uncaught SyntaxError: Unexpected string"" in a console";2021-05-12T20:03:13Z;True;2021-05-12T20:04:20Z;lets-plot
366;CLOSED;王尚堃;windows-10 error ImportError: DLL load failed: 找不到指定的模块。;2021-04-28T09:56:44Z;True;2021-12-28T22:06:08Z;lets-plot
365;OPEN;Igor Alshannikov;API should accept python 'range' type.;2021-04-27T22:00:48Z;False;;lets-plot
364;CLOSED;;Poor font rendering within SciView;2021-04-27T08:25:04Z;True;2021-06-23T01:45:32Z;lets-plot
363;CLOSED;Robert DeFilippi;LetsPlot.setup_html() in pycharm jupyter has no ouput;2021-04-25T22:57:51Z;True;2021-05-24T17:26:23Z;lets-plot
360;CLOSED;;Plugin not compatible with PyCharm 2021.1;2021-04-19T16:02:28Z;True;2021-04-20T14:27:46Z;lets-plot
358;CLOSED;Igor Alshannikov;Outlier tooltips: the spout sometimes is too long (boxplot);2021-04-09T16:35:49Z;True;2021-08-04T09:15:26Z;lets-plot
