number;state;author;title;created_at;closed;closed_at
679;CLOSED;Artem Smirnov;Groups not sorted similarly when using facets;2023-02-02T17:17:07Z;true;2023-05-10T21:09:18Z
678;OPEN;Andrei Kislitsyn;add scale date;2023-02-02T14:49:42Z;false;
675;OPEN;Andrei Kislitsyn;Add "null" to the legend.;2023-02-01T10:27:10Z;false;
674;CLOSED;Artem Smirnov;Area ridges: fill overlaps geometry borders when colors are repeated;2023-01-31T11:08:20Z;true;2023-03-07T08:02:09Z
673;CLOSED;Artem Smirnov;Groups not sorted similarly when position='stack';2023-01-24T13:04:53Z;true;2023-02-01T17:39:41Z
665;CLOSED;Olga Larionova;Error when tooltip has variable mapped to aesthetic used by stat;2023-01-13T10:08:14Z;true;2023-01-23T14:36:25Z
664;CLOSED;Olga Larionova;'map_join'-variable is lost after stat is applied;2023-01-12T15:55:34Z;true;2023-01-23T14:40:10Z
662;CLOSED;Artem Smirnov;residual_plot: strange behavior of the color_by parameter;2023-01-10T19:19:24Z;true;2023-01-16T09:29:42Z
661;OPEN;Igor Alshannikov;pie labels: rotate label if it doesn't fit in.;2023-01-04T18:01:54Z;false;
660;CLOSED;Igor Alshannikov;element_text: add support for "angle" parameter;2022-12-29T01:46:36Z;true;2023-03-10T19:30:32Z
659;CLOSED;Igor Alshannikov;Livemap: hide tooltips when user is zooming-in by double-clicks;2022-12-28T21:59:19Z;true;2023-02-07T20:10:14Z
658;CLOSED;Artem Smirnov;Tooltip does not reflect ..quantile.. aesthetic change;2022-12-26T13:52:56Z;true;2023-02-10T16:24:06Z
657;CLOSED;Igor Alshannikov;'set_theme()' should accept "feature list";2022-12-16T20:16:20Z;true;2024-04-16T13:01:54Z
654;CLOSED;Olga Larionova;Bad default formatting for stat variables;2022-12-14T16:33:58Z;true;2023-03-22T15:57:21Z
653;CLOSED;Olga Larionova;The scale name does not apply with `as_discrete()`;2022-12-14T16:15:52Z;true;2023-03-28T14:50:31Z
649;OPEN;Ivan Kupriyanov;geom_livemap: can't draw path crossing the antimeridian;2022-12-08T21:22:31Z;false;
647;CLOSED;Eric;geom_line weird results when swapping x and y;2022-12-08T09:34:37Z;true;2022-12-08T16:32:43Z
645;CLOSED;Igor Alshannikov;geom_livemap: wrong position when datapoints geodesic line goes close to the N.P.;2022-12-07T01:02:26Z;true;2022-12-08T23:17:23Z
635;CLOSED;Wang Boyu;Support for more map projections;2022-11-22T03:53:41Z;true;2022-11-24T15:32:31Z
634;CLOSED;George Nefedev;Precision error in gradient;2022-11-18T10:11:56Z;true;2022-11-30T01:12:12Z
631;CLOSED;Igor Alshannikov;geom_imshow should support "alpha" argument;2022-11-11T01:01:17Z;true;2022-11-25T20:11:59Z
630;CLOSED;Igor Alshannikov;geom_imshow shouldn't fail when input array contains NaN values.;2022-11-11T00:59:06Z;true;2022-11-19T00:12:50Z
